Business,Address,Category,Detected website,Detected logo,Website issue,Logo issue,Domain hint
Gravity Espresso And Wine Bar,909 10 St Se,bar,,,Missing website,Missing logo,gravityespresso.com
Inglewood Pizza & Pasta,1225A 9 Av Se,restaurant,,,Missing website,Missing logo,
Bussin,1121 9 Av Se,restaurant,,,Missing website,Missing logo,
Kups,#108 1020 9 Av Se,restaurant,,,Missing website,Missing logo,
F45 Inglewood,#130 1020 9 Av Se,services,,,Missing website,Missing logo,
Sot,1216C 9 Av Se,restaurant,,,Missing website,Missing logo,
Marshall Drugs,1231 9 Av Se,restaurant,,,Missing website,Missing logo,
Limitless Calgary,1015 9 Av Se,shop,,,Missing website,Missing logo,
Hello Vintage Inglewood,1228A 9 Av Se,shop,,,Missing website,Missing logo,
Linas Italian Piazza,1023 9 Av Se,restaurant,,,Missing website,Missing logo,
Mowgli's/Ninja Tiger,1209 9 Av Se,restaurant,,,Missing website,Missing logo,
Eden (The),1219 9 Av Se,restaurant,,,Missing website,Missing logo,
Potion Room,1211 9 Av Se,restaurant,,,Missing website,Missing logo,
Espy,1009 9 Av Se,shop,,,Missing website,Missing logo,
Genuine Design,1213 9 Av Se,shop,,,Missing website,Missing logo,
Ari Sushi,1201 9 Av Se,restaurant,,,Missing website,Missing logo,
Calgary Car Centre / Driving With Carmelo,1234 9 Av Se,shop,,,Missing website,Missing logo,
Purr,1227 9 Av Se,shop,,,Missing website,Missing logo,
Burn Block Social Club,1217B 9 Av Se,bar,,,Missing website,Missing logo,
Worn Studio,915 9 Av Se,services,,,Missing website,Missing logo,
Lemonceillo Home,1223B 9 Av Se,shop,,,Missing website,Missing logo,
Junction 9 Wellbeing,#100 919 9 Av Se,services,,,Missing website,Missing logo,
Hose & Hound Pub,1030 9 Av Se,bar,https://hoseandhound.ca,,,Missing logo,hoseandhound.ca
Ouijablonde Hair Studio,915 9 Av Se,services,,,Missing website,Missing logo,
Recordland,1208 9 Av Se,shop,https://recordlandcalgary.com/,,,Missing logo,recordlandcalgary.com
Boft Fine Rugs Gallery,1225B 9 Av Se,gallery,,,Missing website,Missing logo,
Evi Beauty,1010 9 Av Se,services,,,Missing website,Missing logo,
Mumbai Bites- Progressive Indian Cuisine,1214C 9 Av Se,restaurant,,,Missing website,Missing logo,
Marshall's Rx Centre,#214 1231 9 Av Se,shop,,,Missing website,Missing logo,
4Cats,1218B 9 Av Se,shop,,,Missing website,Missing logo,
Onyx & Ivory Salon,#116 1020 9 Av Se,services,,,Missing website,Missing logo,
Patisseries Louise,1002 9 Av Se,restaurant,,,Missing website,Missing logo,
Wymbin,#50 919 9 Av Se,services,,,Missing website,Missing logo,
Artesano Galleria,#B 1215 9 Av Se,gallery,,,Missing website,Missing logo,
Be Brave,1018 9 Av Se,shop,https://bebrave.ca/,,,Missing logo,bebrave.ca
Esker Foundation,#444 1011 9 Av Se,gallery,https://eskerfoundation.art,,,Missing logo,eskerfoundation.art
Brooklyn Dumplings Shop,1113 9 Av Se,restaurant,,,Missing website,Missing logo,
Bored Brewing Company (The),#200 1212 9 Av Se,bar,,,Missing website,Missing logo,
T2722 Luxury Barista Experience,1002 9 Av Se,bar,,,Missing website,Missing logo,
Leo Boutique,1006 9 Av Se,shop,,,Missing website,Missing logo,
Untitled Esthetics Studio,#105 917 9 Av Se,services,,,Missing website,Missing logo,
Inglewood Oak & Vine,1139 9 Av Se,shop,,,Missing website,Missing logo,
Peacock Boutique Consignment,1218 9 Av Se,shop,,,Missing website,Missing logo,
North Hill Aesthetics,#2 1922 9 Av Se,services,,,Missing website,Missing logo,
Flawless Clinical Aesthetics And Medical Services,#12 1922 9 Av Se,services,,,Missing website,Missing logo,
Cober West,#200 1601 9 Av Se,shop,,,Missing website,Missing logo,
Blackfoot Diner,#A 1840 9 Av Se,restaurant,,,Missing website,Missing logo,
West Canadian Digital Imaging,1601 9 Av Se,shop,,,Missing website,Missing logo,
Theralleve,#3 1922 9 Av Se,shop,,,Missing website,Missing logo,
Lou's Autobody,1801 9 Av Se,shop,,,Missing website,Missing logo,
Petro Canada Truck Stop,1840 9 Av Se,restaurant,,,Missing website,Missing logo,
Jfit + Restore,#3 1922 9 Av Se,services,,,Missing website,Missing logo,
Hd Motors,1817 9 Av Se,shop,,,Missing website,Missing logo,
Salvation Army (The),420 9 Av Se,services,,,Missing website,Missing logo,
Prep Doctors,518 9 Av Se,shop,,,Missing website,Missing logo,
11-Eleven Liquor,1402 9 Av Se,shop,,,Missing website,Missing logo,
Delicious From Colombia,1314B 9 Av Se,restaurant,,,Missing website,Missing logo,
Theycallme.V,1530 9 Av Se,services,,,Missing website,Missing logo,
Rosso Coffee Roasters Inglewood,1400 9 Av Se,cafe,https://rossocoffee.com,,,Missing logo,rossocoffee.com
Minh Chau Vietnamese Restaurant,1318 9 Av Se,restaurant,,,Missing website,Missing logo,
Collector's Gallery (The),1332A 9 Av Se,gallery,,,Missing website,Missing logo,
Monki Breakfast Club & Bistro,#4 1420 9 Av Se,restaurant,,,Missing website,Missing logo,
That Old Retro Store,1314A 9 Av Se,shop,,,Missing website,Missing logo,
Twitchin Threadz & Company,#2 1335 9 Av Se,shop,,,Missing website,Missing logo,
Tupi Acai Bowls,1414 9 Av Se,restaurant,,,Missing website,Missing logo,
Kultura Massage Wellness,1528 9 Av Se,services,,,Missing website,Missing logo,
Boss Tattoos Walk - In Studio,1331 9 Av Se,services,,,Missing website,Missing logo,
Wild Soul Body Sugaring,#109E 1526 9 Av Se,services,,,Missing website,Missing logo,
Permanent Beauty Boutique Yyc,#109 1526 9 Av Se,services,,,Missing website,Missing logo,
Foundation Barbershop,#3 1335 9 Av Se,bar,,,Missing website,Missing logo,
Double L Motors (2008),1509 9 Av Se,shop,,,Missing website,Missing logo,
Nova Skin & Wellness,1412 9 Av Se,services,,,Missing website,Missing logo,
Pro Line Shooters Ii,#B 1426 9 Av Se,services,,,Missing website,Missing logo,
Le Belle Arti,1435 9 Av Se,shop,,,Missing website,Missing logo,
Rayacom,1528 9 Av Se,shop,,,Missing website,Missing logo,
Tail Blazers Inglewood,#7 1420 9 Av Se,shop,,,Missing website,Missing logo,
Purple Lotus Massage,1530 9 Av Se,services,,,Missing website,Missing logo,
Shoe Closet (The),1404 9 Av Se,shop,,,Missing website,Missing logo,
Canela,1319 9 Av Se,cafe,https://canelabakeshop.com,,,Missing logo,canelabakeshop.com
Yyc Laser & Skincare,#109H 1526 9 Av Se,services,,,Missing website,Missing logo,
Teou Studio,#109D 1526 9 Av Se,services,,,Missing website,Missing logo,
Not Another Eye Store,1321 9 Av Se,shop,,,Missing website,Missing logo,
Calgary Local Florist,1428 9 Av Se,restaurant,,,Missing website,Missing logo,
Kindred Aesthetics,#109A 1526 9 Av Se,services,,,Missing website,Missing logo,
Tea Cult (The),#23 1420 9 Av Se,restaurant,,,Missing website,Missing logo,
Man Of Distinction,1416 9 Av Se,shop,,,Missing website,Missing logo,
Change Is Good Cdc,1317 9 Av Se,shop,,,Missing website,Missing logo,
Silk Road Spice Merchant (The),1419 9 Av Se,restaurant,,,Missing website,Missing logo,
High Line Brewing,#113 1318 9 Av Se,bar,https://highlinebrewing.ca,,,Missing logo,highlinebrewing.ca
Imagine Vintage Wear,1325 9 Av Se,shop,,,Missing website,Missing logo,
Elysian Alchemy,1340 9 Av Se,restaurant,,,Missing website,Missing logo,
Hallmark Auto Body,1430 9 Av Se,shop,,,Missing website,Missing logo,
Eira Laser,#109I 1526 9 Av Se,services,,,Missing website,Missing logo,
Notorious Hair Group,#1 1335 9 Av Se,services,,,Missing website,Missing logo,
Ama Jewellery & Watches,1349 9 Av Se,shop,,,Missing website,Missing logo,
Vegan Street & The Attic,1413 9 Av Se,restaurant,,,Missing website,Missing logo,
Barbie Nail And Massage,1327B 9 Av Se,bar,,,Missing website,Missing logo,
Tease Hair Studio,1532 9 Av Se,services,,,Missing website,Missing logo,
Coven Body Arts,1532 9 Av Se,services,,,Missing website,Missing logo,
Plant Terrariums & Garden Supplies,1327 9 Av Se,shop,,,Missing website,Missing logo,
Recess,1333 9 Av Se,shop,,,Missing website,Missing logo,
Chantelle Keshaye Permanent Makeup,#8 1420 9 Av Se,services,,,Missing website,Missing logo,
Radiance Day Spa,1528 9 Av Se,services,,,Missing website,Missing logo,
Sol Electrolysis,1532 9 Av Se,services,,,Missing website,Missing logo,
Four20 Premium Market,1309 9 Av Se,shop,,,Missing website,Missing logo,
Ami Tea Sub,1357 9 Av Se,cafe,,,Missing website,Missing logo,
Lyndsey Haley Massage Therapy,1530 9 Av Se,services,,,Missing website,Missing logo,
Inspire Wellness Massage,#109A 1526 9 Av Se,services,,,Missing website,Missing logo,
Blooms On 9Th,#19 1420 9 Av Se,shop,,,Missing website,Missing logo,
Supervariety,1327A 9 Av Se,restaurant,,,Missing website,Missing logo,
Sakura Eyelash Salon,1420 9 Av Se,services,,,Missing website,Missing logo,
Neo Vape,#1 1336 9 Av Se,shop,,,Missing website,Missing logo,
Blue Store (The),1344 9 Av Se,restaurant,,,Missing website,Missing logo,
Saint And Stellar Tattoo,1530 9 Av Se,services,,,Missing website,Missing logo,
Tibetan Trom,1325A 9 Av Se,shop,,,Missing website,Missing logo,
Sacred Horizons Massage,1528 9 Av Se,services,,,Missing website,Missing logo,
Atlantic Auto Sales,1556 9 Av Se,shop,,,Missing website,Missing logo,
Dirty Duck,1336 9 Av Se,bar,,,Missing website,Missing logo,
Norley's Colombian Street Food,1314B 9 Av Se,restaurant,,,Missing website,Missing logo,
Fetish Hair,#11 1420 9 Av Se,services,,,Missing website,Missing logo,
Shu Beauty,#8 1420 9 Av Se,services,,,Missing website,Missing logo,
Lashgirlsu,1528 9 Av Se,services,,,Missing website,Missing logo,
Cyndi Fehr Wellness,1528 9 Av Se,services,,,Missing website,Missing logo,
